zcr_mean,zcr_std,rms_mean,rms_std,amp_mean,amp_std,amp_var,amp_skew,amp_kurtosis,amp_min,amp_max,label
0.01881987473060345,0.0131480616397335,0.025482964,0.022131033,-0.0013475477,0.033874113,0.0011474557,0.75864655,6.0414124,-0.1839447,0.22697449,buka
0.018971051356589146,0.012006375421714545,0.025973825,0.023266362,-0.0012051433,0.03498764,0.001224135,0.16583592,5.2231627,-0.15452576,0.19496155,buka
0.01814477237654321,0.011966908346343985,0.02806091,0.025745315,-0.001882264,0.038280528,0.0014653989,0.46825504,8.9448395,-0.22819519,0.24658203,buka
0.033110574959150325,0.017141216301627033,0.028010063,0.022389868,-0.0010211794,0.035917047,0.0012900344,1.0118921,5.268708,-0.17352295,0.19848633,buka
0.023041930379746837,0.015741244395357307,0.024642736,0.027912308,-0.00075618195,0.03747017,0.0014040136,-0.11004537,15.431116,-0.28424072,0.27537537,buka
0.025595272288602942,0.01658915602179655,0.031603042,0.025782168,-0.0013571035,0.04091894,0.0016743594,0.22704986,3.0455365,-0.16477966,0.17060852,buka
0.05895556991906475,0.041099234188441996,0.019170597,0.019554371,-0.0012453962,0.02739995,0.0007507573,1.0864137,8.37529,-0.13722229,0.17459106,buka
0.03546299078525641,0.020820531918624267,0.034023076,0.033615924,-0.0022707633,0.048100453,0.0023136535,1.1915717,9.422083,-0.26036072,0.29512024,buka
0.021830240885416668,0.016773690381152825,0.027694087,0.019234413,-0.0013512269,0.033791948,0.0011418958,0.8875151,4.1460533,-0.15560913,0.19985962,buka
0.018017029494382022,0.015133275248798957,0.03799416,0.031197278,-0.0013750646,0.049425375,0.0024428677,0.5764444,5.1366444,-0.27474976,0.26220703,buka
0.02147900927197802,0.01606132789692271,0.028708275,0.02662764,-0.00070891477,0.039369203,0.001549934,-0.11762329,4.5243845,-0.20980835,0.15361023,tutup
0.03235546875,0.020669207180931765,0.029452167,0.030998051,-0.0015233936,0.042919807,0.0018421097,1.1298956,6.338216,-0.18057251,0.2358551,tutup
0.06519349563953489,0.04461822412081518,0.031205203,0.02363927,-0.0008648181,0.039232958,0.0015392249,0.74978906,5.453787,-0.19465637,0.25990295,tutup
0.02024110425420168,0.013116594151332327,0.030287655,0.033527665,-0.0014018045,0.04535297,0.0020568918,1.0912964,6.0149364,-0.18331909,0.24365234,tutup
0.02190994122706422,0.014622896328587598,0.023774823,0.024627171,-0.0014484873,0.03436141,0.0011807067,0.4170716,4.914792,-0.17550659,0.17979431,tutup
0.021178385416666667,0.01111474380448824,0.024976585,0.03178292,-0.001035143,0.04068994,0.0016556714,0.83876234,12.037749,-0.21165466,0.29803467,tutup
0.021465594951923076,0.011577423655184372,0.021914827,0.024820767,-0.0009966558,0.03325769,0.001106074,1.1738131,10.770463,-0.16801453,0.24610901,tutup
0.045567103794642856,0.02258722231254478,0.03786716,0.037354402,-0.0019555292,0.053484928,0.0028606376,0.924883,5.9835253,-0.20799255,0.32192993,tutup
0.058787677304964536,0.02491078789542319,0.018944621,0.019481378,-0.0012591276,0.0272576,0.00074297684,0.6560014,15.441996,-0.22375488,0.2649536,tutup
0.04515144006529851,0.02974748030384429,0.03157847,0.031100761,-0.0010398994,0.044369325,0.0019686369,0.42257297,5.454443,-0.23999023,0.2632599,tutup
